Item_Id,Date,State_of_Country,Market_Category,Product_Category,Grade,Demand,High_Cap_Price,prediction
IT_265079,2014-01-19,0,3,0,0,0.1,5303,3631.993767019685
IT_265087,2014-01-19,0,268,0,2,1.4,10492,2452.2865366767983
IT_265107,2014-01-19,0,320,0,0,13.4,24706,4930.869159222497
IT_265139,2014-01-19,17,358,0,3,5.5,23464,5604.432652661065
IT_265142,2014-01-19,18,23,5,2,0.0,6222,1553.3215
IT_265144,2014-01-19,18,23,9,2,0.0,3089,1374.6683166628695
IT_265148,2014-01-19,20,55,0,2,0.7,7389,2785.8800832639313
IT_265156,2014-01-19,20,389,0,2,1.4,16445,3762.137928571428
IT_265162,2014-01-19,20,137,0,0,0.7,17478,8354.347236652238
IT_265170,2014-01-19,3,74,0,0,6.0,16306,6208.009400432899
IT_265175,2014-01-19,21,330,10,2,2.3,13207,7514.657333333333
IT_265181,2014-01-19,21,37,0,0,2.0,12210,8227.800166666666
IT_265183,2014-01-19,21,443,0,0,1.3,11303,7754.43745238095
IT_265184,2014-01-19,21,310,0,0,1.7,11178,6706.690428571429
IT_265196,2014-01-19,21,446,10,0,19.8,12649,8718.626166666669
IT_265201,2014-01-19,21,274,10,0,0.8,17107,7721.346333333333
IT_265205,2014-01-19,21,356,14,0,4.5,15894,7672.900500000001
IT_265244,2014-01-20,0,268,0,2,0.2,10510,3046.6407179255993
IT_265255,2014-01-20,0,294,0,2,7.2,31880,5352.787390756302
IT_265259,2014-01-20,0,450,0,0,1.7,20324,3549.0716434676433
IT_265264,2014-01-20,0,320,0,0,13.2,19006,4103.31330207964
IT_265274,2014-01-20,1,83,0,0,322.1,10151,2400.921611278447
IT_265275,2014-01-20,1,132,0,0,230.6,12511,2279.7022880461245
IT_265294,2014-01-20,17,460,0,3,0.1,2121,786.6895980218299
IT_265315,2014-01-20,20,137,0,0,0.6,22820,7213.611364246863
IT_265317,2014-01-20,20,30,0,0,0.7,5572,2990.713088402306
IT_265332,2014-01-20,21,296,0,0,1.1,11421,6615.037666666666
IT_265338,2014-01-20,21,443,0,0,1.4,11754,7578.944
IT_265339,2014-01-20,21,310,0,0,1.1,11346,6628.6359999999995
IT_265341,2014-01-20,21,444,0,0,0.6,12203,8381.436333333333
IT_265349,2014-01-20,21,355,0,2,1.7,12483,6661.697000000001
IT_265350,2014-01-20,21,446,10,0,19.9,11834,7952.361999999999
IT_265360,2014-01-20,21,231,15,0,0.8,13278,9523.719000000001
IT_265379,2014-01-20,5,90,0,0,46.8,10890,2082.953806554971
IT_265382,2014-01-21,7,352,0,0,0.1,21240,14647.608
IT_265417,2014-01-21,0,320,0,0,11.8,23935,4723.71249255583
IT_265448,2014-01-21,18,23,5,2,0.0,6181,1545.8898333333332
IT_265455,2014-01-21,20,55,0,2,0.2,7146,3307.0635769230767
IT_265482,2014-01-21,21,296,0,0,0.0,12581,6878.501833333334
IT_265490,2014-01-21,21,310,0,0,1.7,10804,6934.020285173162
IT_265495,2014-01-21,21,353,0,0,0.7,13460,7629.769833333333
IT_265499,2014-01-21,21,355,0,2,1.7,11789,6463.385833333333
