Item_Id,Date,State_of_Country,Market_Category,Product_Category,Grade,Demand,High_Cap_Price,prediction
IT_265079,2014-01-19,0,3,0,0,0.1,5303,3605.481503628076
IT_265087,2014-01-19,0,268,0,2,1.4,10492,2494.3710130544837
IT_265107,2014-01-19,0,320,0,0,13.4,24706,3932.662416666667
IT_265139,2014-01-19,17,358,0,3,5.5,23464,6505.917128851541
IT_265142,2014-01-19,18,23,5,2,0.0,6222,1547.4083333333335
IT_265144,2014-01-19,18,23,9,2,0.0,3089,1562.365163625952
IT_265148,2014-01-19,20,55,0,2,0.7,7389,3055.2477900455374
IT_265156,2014-01-19,20,389,0,2,1.4,16445,4640.402520157655
IT_265162,2014-01-19,20,137,0,0,0.7,17478,7781.681902928915
IT_265170,2014-01-19,3,74,0,0,6.0,16306,6143.028798992674
IT_265175,2014-01-19,21,330,10,2,2.3,13207,7913.317000000001
IT_265181,2014-01-19,21,37,0,0,2.0,12210,8385.377214285716
IT_265183,2014-01-19,21,443,0,0,1.3,11303,7726.05675862069
IT_265184,2014-01-19,21,310,0,0,1.7,11178,6772.392355411584
IT_265196,2014-01-19,21,446,10,0,19.8,12649,8546.838333333333
IT_265201,2014-01-19,21,274,10,0,0.8,17107,8660.899833333335
IT_265205,2014-01-19,21,356,14,0,4.5,15894,8660.899833333335
IT_265244,2014-01-20,0,268,0,2,0.2,10510,3446.9639569352753
IT_265255,2014-01-20,0,294,0,2,7.2,31880,6157.5245
IT_265259,2014-01-20,0,450,0,0,1.7,20324,4065.5313321961353
IT_265264,2014-01-20,0,320,0,0,13.2,19006,3747.924317099568
IT_265274,2014-01-20,1,83,0,0,322.1,10151,1969.7033833888165
IT_265275,2014-01-20,1,132,0,0,230.6,12511,2014.4572047771424
IT_265294,2014-01-20,17,460,0,3,0.1,2121,752.3766666666669
IT_265315,2014-01-20,20,137,0,0,0.6,22820,8452.54389520603
IT_265317,2014-01-20,20,30,0,0,0.7,5572,2961.923186017627
IT_265332,2014-01-20,21,296,0,0,1.1,11421,6519.5249523809525
IT_265338,2014-01-20,21,443,0,0,1.4,11754,7753.9623095238085
IT_265339,2014-01-20,21,310,0,0,1.1,11346,6493.2978095238095
IT_265341,2014-01-20,21,444,0,0,0.6,12203,8266.274496336997
IT_265349,2014-01-20,21,355,0,2,1.7,12483,6624.166
IT_265350,2014-01-20,21,446,10,0,19.9,11834,8077.297738095238
IT_265360,2014-01-20,21,231,15,0,0.8,13278,9687.373
IT_265379,2014-01-20,5,90,0,0,46.8,10890,1987.9401702763782
IT_265382,2014-01-21,7,352,0,0,0.1,21240,14850.98616666667
IT_265417,2014-01-21,0,320,0,0,11.8,23935,3468.4905833333337
IT_265448,2014-01-21,18,23,5,2,0.0,6181,1561.1583333333335
IT_265455,2014-01-21,20,55,0,2,0.2,7146,3246.1768460566145
IT_265482,2014-01-21,21,296,0,0,0.0,12581,6787.666666666669
IT_265490,2014-01-21,21,310,0,0,1.7,10804,7462.6795447053655
IT_265495,2014-01-21,21,353,0,0,0.7,13460,7802.337999999998
IT_265499,2014-01-21,21,355,0,2,1.7,11789,6457.406976190476
IT_265500,2014-01-21,21,446,10,0,25.1,12279,8415.21542857143
IT_265504,2014-01-21,21,274,10,0,0.2,15870,8658.595666666668
IT_265507,2014-01-21,21,449,10,0,1.1,12739,8868.140833333333
IT_265533,2014-01-22,0,0,0,0,1.0,15920,5364.474738513349
IT_265566,2014-01-22,0,320,0,0,47.8,25240,4340.282452380953
IT_265568,2014-01-22,1,132,0,0,188.5,12361,1897.4827047771419
IT_265575,2014-01-22,17,358,0,3,2.1,21648,6701.068245689547
IT_265577,2014-01-22,20,55,0,2,0.8,7533,3171.1904599394206
IT_265581,2014-01-22,20,137,0,0,0.9,16698,6337.796452414839
IT_265611,2014-01-22,21,360,10,0,0.2,12869,7123.2103333333325
IT_265615,2014-01-22,5,90,0,0,125.2,10353,1933.9415478016308
IT_265647,2014-01-23,0,294,0,2,3.6,14076,3438.3121946778724
IT_265697,2014-01-23,17,38,0,3,69.7,21987,6323.18461904762
IT_265701,2014-01-23,18,23,5,1,0.0,6695,3588.9174138728267
IT_265702,2014-01-23,18,23,5,0,0.0,4649,2831.405234883702
IT_265703,2014-01-23,18,23,5,2,0.0,3022,1405.6874017211899
IT_265720,2014-01-23,20,137,0,0,0.7,19932,5073.564390444125
IT_265734,2014-01-23,21,330,10,2,1.0,13839,8091.185166666666
IT_265736,2014-01-23,21,441,10,0,11.2,11754,8220.287119047618
IT_265740,2014-01-23,21,37,0,0,3.4,12203,8391.109880952381
IT_265742,2014-01-23,21,310,0,0,2.0,12112,6801.575666666667
IT_265747,2014-01-23,21,353,0,0,0.4,12803,7055.646976190476
IT_265751,2014-01-23,21,446,10,0,29.8,11672,8117.101071428571
IT_265757,2014-01-23,21,356,14,0,4.7,17101,8660.899833333335
IT_265792,2014-01-24,0,3,0,0,0.1,14260,6923.071396149081
IT_265816,2014-01-24,0,294,0,2,2.2,15268,2953.726761294261
IT_265819,2014-01-24,0,436,1,0,8.2,4943,1716.8052762964674
IT_265866,2014-01-24,17,9,0,3,5.5,32876,7312.086843137255
IT_265869,2014-01-24,17,358,0,3,3.2,21662,6113.464591711873
IT_265874,2014-01-24,18,23,9,0,0.0,3946,2383.7025
IT_265880,2014-01-24,20,55,0,2,0.8,5044,3657.564794743656
IT_265905,2014-01-24,21,330,10,2,0.7,13412,7714.705666666665
IT_265911,2014-01-24,21,37,0,0,3.2,12248,8397.146547619048
IT_265922,2014-01-24,21,274,10,0,0.6,16174,8660.899833333335
IT_265927,2014-01-24,21,356,14,0,5.8,15236,8660.899833333335
IT_265932,2014-01-24,21,345,14,0,7.0,16684,8660.899833333335
IT_265935,2014-01-24,21,312,0,0,1.5,12876,6362.14830952381
IT_265948,2014-01-24,5,90,0,0,151.6,10158,1974.9871512920852
IT_265966,2014-01-25,0,3,0,0,0.2,12900,5269.2437688361415
IT_265976,2014-01-25,0,268,0,2,2.0,9763,2336.2177807976796
IT_265999,2014-01-25,0,450,0,0,1.2,18336,6593.630388803937
IT_266030,2014-01-25,1,132,0,0,327.3,13317,2428.802811517711
IT_266056,2014-01-25,18,23,4,0,0.0,2827,1612.4948670498422
IT_266058,2014-01-25,18,23,5,1,0.0,6060,3509.3176255476287
IT_266060,2014-01-25,18,23,5,2,0.0,2969,1154.5639218931474
IT_266069,2014-01-25,20,55,0,2,0.6,4481,2765.5033861801508
IT_266096,2014-01-25,3,74,0,2,1.7,27150,7503.950999999998
IT_266103,2014-01-25,21,330,10,2,0.5,14087,8142.395428571429
IT_266111,2014-01-25,21,310,0,0,1.9,11543,6674.5062857142875
IT_266115,2014-01-25,21,353,0,0,0.5,12346,6661.167547619047
IT_266124,2014-01-25,21,274,10,0,0.7,16327,8660.899833333335
IT_266128,2014-01-25,21,356,14,0,6.9,16901,8660.899833333335
IT_266132,2014-01-25,21,347,1,0,1.7,13089,5642.9619999999995
IT_266137,2014-01-25,21,338,0,0,1.0,12087,6613.8815
IT_266141,2014-01-25,21,65,0,0,105.5,6076,4184.137665610462
IT_266155,2014-01-26,7,352,0,0,0.1,32926,16218.569666666668
IT_266157,2014-01-26,12,257,0,0,164.8,29445,13824.242833333337
IT_266166,2014-01-26,0,3,0,0,0.2,13959,5662.676814600797
IT_266175,2014-01-26,0,268,0,2,4.2,9983,2880.6247030268055
IT_266188,2014-01-26,0,294,0,2,6.8,13519,4062.0055133467035
IT_266255,2014-01-26,17,11,0,3,141.7,2329,545.4948042071198
IT_266258,2014-01-26,18,23,5,2,0.0,4801,1890.8283148148146
IT_266264,2014-01-26,20,55,0,2,1.2,6162,2999.005478773599
IT_266281,2014-01-26,20,137,0,0,1.5,23615,7321.671666666665
IT_266298,2014-01-26,21,330,10,2,0.7,14574,8039.193166666667
IT_266299,2014-01-26,21,437,10,0,38.9,11139,7650.655953933748
IT_266307,2014-01-26,21,310,0,0,1.7,10734,7477.651306827015
IT_266318,2014-01-26,21,446,10,0,56.7,11123,7588.498892857144
IT_266322,2014-01-26,21,274,10,0,0.8,15734,8660.899833333335
IT_266324,2014-01-26,21,449,10,0,3.0,11335,8160.924380952381
IT_266334,2014-01-26,21,338,0,0,1.3,12693,7017.798642857143
IT_266338,2014-01-26,21,65,0,0,165.7,5831,4118.607168650794
IT_266354,2014-01-27,7,27,0,0,8.7,22480,14520.611261904765
IT_266366,2014-01-27,0,3,0,0,0.1,4401,3059.9420474255085
IT_266376,2014-01-27,0,268,0,2,6.2,10287,3180.698012757219
IT_266402,2014-01-27,0,320,0,0,5.7,15559,2722.20383553946
IT_266413,2014-01-27,1,132,0,0,440.4,11438,2049.609023809524
IT_266453,2014-01-27,18,23,5,2,0.0,1964,1162.6995846924144
IT_266498,2014-01-27,21,330,10,2,0.4,13849,8020.502095238095
IT_266499,2014-01-27,21,437,10,0,44.3,2805,1739.0853809523812
IT_266506,2014-01-27,21,310,0,0,1.1,11604,6553.698119047619
IT_266514,2014-01-27,21,14,11,0,6.6,11390,8227.657380952382
IT_266523,2014-01-27,21,274,10,0,1.0,15685,8660.899833333335
IT_266532,2014-01-27,21,347,1,0,1.8,12723,7106.309833333333
IT_266536,2014-01-27,21,312,0,0,1.7,12923,5925.755166666667
IT_266537,2014-01-27,21,338,0,0,1.1,11449,6514.385619047621
IT_266541,2014-01-27,21,65,0,0,156.7,5960,4113.232199704687
IT_266556,2014-01-28,12,257,0,0,188.0,26610,13002.930166666665
IT_266557,2014-01-28,23,183,0,2,353.2,31529,12432.790833333338
IT_266571,2014-01-28,0,364,1,0,0.4,4179,2240.7978245242075
IT_266578,2014-01-28,0,268,0,0,4.4,5792,2163.1547229033067
IT_266594,2014-01-28,0,294,0,2,13.9,16545,5285.671493779905
IT_266650,2014-01-28,4,175,0,0,0.7,19196,11298.6695
IT_266665,2014-01-28,18,23,5,2,0.0,3713,1754.9831666666669
IT_266667,2014-01-28,18,23,12,1,0.0,17064,8140.139842702552
IT_266671,2014-01-28,20,55,0,2,1.0,7774,3164.0641763181748
IT_266684,2014-01-28,20,137,0,0,1.7,16307,4751.546633153918
IT_266700,2014-01-28,21,330,10,2,0.4,12749,7008.256333333332
IT_266703,2014-01-28,21,441,10,0,19.5,11537,8118.163047619047
IT_266715,2014-01-28,21,134,10,0,15.6,15073,8660.899833333335
IT_266731,2014-01-28,21,345,14,0,7.8,15567,8660.899833333335
IT_266741,2014-01-28,21,211,0,0,2.8,11375,8103.131690476193
IT_266744,2014-01-28,21,453,1,0,1.3,11288,7922.595234811166
