Item_Id,Date,State_of_Country,Market_Category,Product_Category,Grade,Demand,High_Cap_Price,prediction
IT_265079,2014-01-19,0,3,0,0,0.1,5303,3308.638632709343
IT_265087,2014-01-19,0,268,0,2,1.4,10492,3327.629321457243
IT_265107,2014-01-19,0,320,0,0,13.4,24706,5191.106219441512
IT_265139,2014-01-19,17,358,0,3,5.5,23464,9581.2913616754
IT_265142,2014-01-19,18,23,5,2,0.0,6222,2030.9719548986698
IT_265144,2014-01-19,18,23,9,2,0.0,3089,1429.2059985156502
IT_265148,2014-01-19,20,55,0,2,0.7,7389,3504.45691726777
IT_265156,2014-01-19,20,389,0,2,1.4,16445,5870.88355630499
IT_265162,2014-01-19,20,137,0,0,0.7,17478,7469.0149858628465
IT_265170,2014-01-19,3,74,0,0,6.0,16306,5166.425406750251
IT_265175,2014-01-19,21,330,10,2,2.3,13207,6662.451502782787
IT_265181,2014-01-19,21,37,0,0,2.0,12210,7151.8519416291965
IT_265183,2014-01-19,21,443,0,0,1.3,11303,7162.551404057741
IT_265184,2014-01-19,21,310,0,0,1.7,11178,7084.153542085186
IT_265196,2014-01-19,21,446,10,0,19.8,12649,7209.3101880649165
IT_265201,2014-01-19,21,274,10,0,0.8,17107,7643.147268826083
IT_265205,2014-01-19,21,356,14,0,4.5,15894,7623.082512441865
IT_265244,2014-01-20,0,268,0,2,0.2,10510,3782.6225795578175
IT_265255,2014-01-20,0,294,0,2,7.2,31880,4778.532093157887
IT_265259,2014-01-20,0,450,0,0,1.7,20324,4812.942167793936
IT_265264,2014-01-20,0,320,0,0,13.2,19006,4697.719699818278
IT_265274,2014-01-20,1,83,0,0,322.1,10151,3004.8339087734844
IT_265275,2014-01-20,1,132,0,0,230.6,12511,2345.436815735894
IT_265294,2014-01-20,17,460,0,3,0.1,2121,803.9238436510008
IT_265315,2014-01-20,20,137,0,0,0.6,22820,7949.5163170962005
IT_265317,2014-01-20,20,30,0,0,0.7,5572,2873.9521727716924
IT_265332,2014-01-20,21,296,0,0,1.1,11421,7211.005096819825
IT_265338,2014-01-20,21,443,0,0,1.4,11754,7221.315963764005
